region,year,marriage_rate
Краснодарский край,2020,6.0
Краснодарский край,2021,7.5
Краснодарский край,2022,8.1
Краснодарский край,2023,7.9
Москва,2020,5.3
Москва,2021,7.0
Москва,2022,7.9
Москва,2023,6.9
Санкт-Петербург,2020,7.6
Санкт-Петербург,2021,9.3
Санкт-Петербург,2022,10.4
Санкт-Петербург,2023,9.2
Республика Татарстан,2020,5.0
Республика Татарстан,2021,6.3
Республика Татарстан,2022,6.9
Республика Татарстан,2023,6.3
Ростовская область,2020,5.0
Ростовская область,2021,6.2
Ростовская область,2022,7.0
Ростовская область,2023,6.8
Свердловская область,2020,5.6
Свердловская область,2021,6.9
Свердловская область,2022,8.1
Свердловская область,2023,7.2
Новосибирская область,2020,5.7
Новосибирская область,2021,6.9
Новосибирская область,2022,8.1
Новосибирская область,2023,7.0
Республика Башкортостан,2020,4.8
Республика Башкортостан,2021,5.7
Республика Башкортостан,2022,6.2
Республика Башкортостан,2023,5.8
